2019rank,name,url,linkedin,city,state,country,phone,interview,growth,leadinvestor,july2018employees,feb2019employees,6monthincrease
199,Chorus.ai,chorus.ai,https://www.linkedin.com/company/chorus.ai,San Francisco,CA,,,https://www.youtube.com/watch?v=Qm_x2vPjd1w,https://techcrunch.com/2017/02/07/with-a-16m-series-a-chorus-ai-listens-to-your-sales-calls-to-help-your-team-close-deals/,RedPoint/Emergence,58,72,24.14%
200,OnboardIQ,OnboardIQ.com,https://www.linkedin.com/company/onboardiq,San Francisco,CA,USA,,,,Y Combinator/Origin,101,125,23.76%
201,Toggl,toggl.com,https://www.linkedin.com/company/toggl,,_Tallinn,Harjumaa,,,,,50,62,24.00%
202,SalesLoft,salesloft.com,http://www.linkedin.com/company/salesloft,Atlanta,GA,,770-756-8026,,,Techstars/Storm/Emergence,302,370,22.52%
203,Conductor Searchlight,conductor.com,https://www.linkedin.com/company/conductor-inc-,New York,NY,,212-213-6251,,,,284,348,22.54%
204,Vainu,vainu.io,https://www.linkedin.com/company/vainu-io/,Helsinki,FIN,,,,,,155,191,23.23%
205,AgoraPulse,agorapulse.com,https://www.linkedin.com/company/agorapulse,Chappaqua,NY,,914-450-7834,,,,42,52,23.81%
206,Lead Accelerator,leadsportsaccelerator.com,https://www.linkedin.com/company/lead-sports-accelerator,Berlin,GER,,,,,,42,52,23.81%
207,LumApps,lumapps.com,https://www.linkedin.com/company/lumapps/,Lyon,FR,FRA,3.37E+10,,,Idinvest,116,143,23.28%
208,Segment,segment.com,http://www.linkedin.com/company/segment-io,San Francisco,CA,,415.213.2870,,,Y Combinator/Accel,302,369,22.19%
209,AppFolio,appfolio.com,http://www.linkedin.com/company/appfolio-inc,Goleta,CA,,805-617-2167,,,CISCO,685,824,20.29%
210,Leadsquared,Leadsquared.com,https://www.linkedin.com/company/leadsquared,Bangalore,IND,,,,https://growthhackers.com/articles/expert-interview-with-nilesh-patel-ceo-of-leadsquared,,126,155,23.02%
211,Nexmo,nexmo.com,http://www.linkedin.com/company/nexmo,San Francisco,CA,,415-805-8810,,,Sorenson/Intel,326,397,21.78%
212,iManage,imanage.com,http://www.linkedin.com/company/imanage,Chicago,IL,,312-667-7000,,,,494,597,20.85%
213,Sumo Logic,sumologic.com,http://www.linkedin.com/company/sumo-logic,Redwood City,CA,,650-810-8700,,,Sequoia/Accel,480,580,20.83%
214,Help Scout,helpscout.net,https://www.linkedin.com/company/help-scout,Boston,MA,,,,,Foundry Group,83,102,22.89%
215,Slido,slido.com,https://www.linkedin.com/company/sli-do,Bratislava,SLO,,,,,,97,119,22.68%
216,Zapier,zapier.com,http://www.linkedin.com/company/zapier,Sunnyvale,CA,,877.381.8743,,,Y Combinator/Bessemer,157,192,22.29%
217,Teamable,Teamable.com,https://www.linkedin.com/company/teamableme,San Francisco,CA,USA,,https://www.saastr.com/saastr-podcast-125-laura-bilazarian-founder-ceo-teamable-discusses-why-you-should-always-be-premium/,,,44,54,22.73%
218,Crisp Thinking,Crispthinking.com,http://www.linkedin.com/company/crisp-thinking,Leeds,UK,,,,,,198,241,21.72%
219,Sauce Labs,saucelabs.com,http://www.linkedin.com/company/sauce-labs,San Francisco,CA,,855.677.0011,,,,218,265,21.56%
220,Idio,idioplatform.com,http://www.linkedin.com/company/idio-ltd,London,UK,,44-20-3463-8618,,,,49,60,22.45%
221,Telnyx,telnyx.com,http://www.linkedin.com/company/telnyx,Chicago,IL,,312.945.7420,,,,81,99,22.22%
222,Knowbe4,knowbe4.com,https://www.linkedin.com/company/knowbe4/,Clearwater,FL,,,,,,498,598,20.08%
223,MariaDB,mariadb.com,https://www.linkedin.com/company/mariadb-corporation,Espoo,,,425-390-0154,,,,153,186,21.57%
224,Rainforest QA,rainforestqa.com,http://www.linkedin.com/company/rainforest,San Francisco,CA,,650.866.1407,,,,182,221,21.43%
225,Ebsta,ebsta.com,http://www.linkedin.com/company/ebsta,London,UK,,44-20-3002-5800,,,,36,44,22.22%
226,Bill.com,bill.com,https://www.linkedin.com/company/bill-com/,Palo Alto,CA,,,,,,388,467,20.36%
227,Duolingo,duolingo.com,http://www.linkedin.com/company/duolingo,Pittsburgh,PA,,412-567-6002,,,,252,305,21.03%
228,Mention,mention.com,https://www.linkedin.com/company/mention,Paris,FRA,,,,,Microsoft Accelerator,59,72,22.03%
229,The Trade Desk,thetradedesk.com,http://www.linkedin.com/company/the-trade-desk,Ventura,CA,,805-585-3434,,,Founder Collective,819,970,18.44%
230,Hubdoc,hubdoc.com,https://www.linkedin.com/company/hubdoc/,Toronot,ON,CAN,800-577-2842,,,BDC,87,106,21.84%
231,Quantum Workplace,quantumworkplace.com,http://www.linkedin.com/company/quantum-workplace,Omaha,NE,,402-505-8302,,,,64,78,21.88%
232,Brandfolder,brandfolder.com,http://www.linkedin.com/company/brandfolder-inc-,Denver,CO,,720.744.0300,,,,41,50,21.95%
233,Predictive Index,predictiveindex.com,https://www.linkedin.com/company/the-predictive-index/,Westwood,MA,,(781) 493-7535,,,,250,302,20.80%
234,ShareASale,shareasale.com,https://www.linkedin.com/company/shareasale-com,Chicago,IL,,312-321-0487,,,,55,67,21.82%
235,Ping Identity,PingIdentity.com,http://www.linkedin.com/company/ping-identity,Denver,CO,,303-468-2900,,,KKR/DFJ,681,809,18.80%
236,Salsa CRM,salsalabs.com,https://www.linkedin.com/company/salsa-labs-inc-,Bethesda,MD,,202-558-2807,,,,74,90,21.62%
237,Employee Navigator,employeenavigator.com,http://www.linkedin.com/company/employee-navigator-llc,Bethesda,MD,,703.734.2706,,,,60,73,21.67%
238,Silverline,silverlinecrm.com,http://www.linkedin.com/company/silverline_2,New York,NY,,646-833-3430,,,,283,341,20.49%
239,Linode,linode.com,http://www.linkedin.com/company/linode,Galloway,NJ,,(609) 380-7100,,,,138,167,21.01%
240,MailChimp,mailchimp.com,http://www.linkedin.com/company/mailchimp,Atlanta,GA,,,,,Bootstrapped,639,758,18.62%
241,CloudNine,cloudninediscovery.com,http://www.linkedin.com/company/cloudnine-discovery,Houston,TX,,713-462-6464,,,,85,103,21.18%
242,Bridgit Closeout,gobridgit.com,https://www.linkedin.com/company/bridgit,Kitchener,,,1-800-783-2127,,,,42,51,21.43%
243,MindTickle,mindtickle.com,http://www.linkedin.com/company/mindtickle,San Francisco,CA,,415-625-3646,,,,197,237,20.30%
244,BirdDogHR,birddoghr.com,http://www.linkedin.com/company/birddog,Des Moines,IA,,515-473-9211,,,,67,81,20.90%
245,Sertifi,sertifi.com,https://www.linkedin.com/company/sertifi-inc-,Chicago,IL,,312-261-5573,,,,43,52,20.93%
246,Laserfiche,laserfiche.com,http://www.linkedin.com/company/laserfiche,Long Beach,CA,,562.988.1688,,,,375,447,19.20%
247,Instabug,instabug.com,https://www.linkedin.com/company/instabug,Giza,EGY,,,,https://techcrunch.com/2016/06/06/ycs-instabug-raises-1-7m-seed-round-led-by-accel-to-grow-beyond-bugs/,Y Combinator/Accel,63,76,20.63%
248,SEMrush,semrush.com,http://www.linkedin.com/company/semrush,Trevose,PA,,855-814-4510,,,Bootstrapped,492,583,18.50%
249,BIME Analytics,bimeanalytics.com,http://www.linkedin.com/company/bimeanalytics,Montpellier,,,816.994.3282,,,,34,41,20.59%
250,Vimeo,vimeo.com,http://www.linkedin.com/company/vimeo,New York,NY,,,,,,471,558,18.47%
251,Bloomerang,bloomerang.co,http://www.linkedin.com/company/bloomerang,Indianapolis,IN,,317-296-8100,,,,64,77,20.31%
252,Appsee,appsee.com,https://www.linkedin.com/company/appsee,,,,888-213-9644,,,,49,59,20.41%
253,People HR,peoplehr.com,http://www.linkedin.com/company/peoplehr-apps,Doncaster,,,(44) 01427 872110,,,,35,42,20.00%
254,Zapproved,zapproved.com,http://www.linkedin.com/company/zapproved,Portland,OR,,888-806-6750,,,Vista Equity,123,147,19.51%
255,Whatfix,whatfix.com,https://www.linkedin.com/company/quickolabs,Sunnyvale,CA,,800-459-7098,,,Stellaris/Helion,97,116,19.59%
256,Acumatica,acumatica.com,http://www.linkedin.com/company/acumatica,Bellevue,WA,,888.228.8300,,,,178,212,19.10%
257,Brightpearl,brightpearl.com,http://www.linkedin.com/company/brightpearl,Bristol,Avon,,44.845.003.8935,,,MMC/Eden,100,119,19.00%
258,Calendly,calendly.com,http://www.linkedin.com/company/calendly,Atlanta,GA,,,,,,52,62,19.23%
259,BirdEye,birdeye.com,https://www.linkedin.com/company/birdeye,Sunnyvale,CA,,800-561-3357,,,WiL,299,353,18.06%
260,Sisense,sisense.com,http://www.linkedin.com/company/sisense,New York,NY,,646.432.1507,,,Bessemer/Battery,448,526,17.41%
261,Exago,exagoinc.com,https://www.linkedin.com/company/exago-inc-,Shelton,CT,,203.225.0876,,,,47,56,19.15%
262,jobber,getjobber.com,http://www.linkedin.com/company/jobber-software,Edmonton,AB,,,,,,90,107,18.89%
263,Imgur,imgur.com,http://www.linkedin.com/company/imgur,San Francisco,CA,,,,,,74,88,18.92%
264,Geopointe,geopointe.com,https://www.linkedin.com/company/geopointe,Orange,CA,,714-475-3837,,,,42,50,19.05%
265,Aha!,aha.io,http://www.linkedin.com/company/aha-labs-inc-,Menlo Park,CA,,888-926-2240,,,,96,114,18.75%
266,Redis Cloud,redislabs.com,http://www.linkedin.com/company/redis-labs-inc,Mountain View,CA,,415)930-9666,,,Bain/Carmel,198,234,18.18%
267,Optimove,optimove.com,https://www.linkedin.com/company/optimove/,New York,NY,,,,,,187,221,18.18%
268,Conversica,conversica.com,http://www.linkedin.com/company/conversica,Foster City,CA,,650-290-7674,,,Providence Strategic,211,249,18.01%
269,DataStax,datastax.com,https://www.linkedin.com/company/datastax/,Santa Clara,CA,,,,,,597,695,16.42%
270,MSIGHTS,msights.com,https://www.linkedin.com/company/msights-inc-/,Charlotte,NC,,,,,,43,51,18.60%
271,BuilderTREND,buildertrend.com,http://www.linkedin.com/company/buildertrend-solutions,Omaha,NE,,402-905-2506,,,,261,307,17.62%
272,OnSolve,OnSolve.com,https://www.linkedin.com/company/onsolve,Ormond Beach,FL,,,,,,155,183,18.06%
273,Bombora,bombora.com,http://www.linkedin.com/company/bomboradata,New York,NY,,646-937-5800,,,Bootstrapped,82,97,18.29%
274,BounceX,bouncex.com,https://www.linkedin.com/company/bounce-exchange/,New York,NY,,,,,,326,382,17.18%
275,BizTalk360,biztalk360.com,http://www.linkedin.com/company/biztalk360,Sidcup,,,(855) 867-8251,,,,49,58,18.37%
276,Infinity HR,infinitihr.com,http://www.linkedin.com/company/infiniti-hr,Burtonsville,MD,,866.552.6360,,,,38,45,18.42%
277,Travis CI,travis-ci.com,https://www.linkedin.com/company/travis-ci,Berlin,GER,,,,,,38,45,18.42%
278,Reply.io,reply.io,http://www.linkedin.com/company/reachout-io,Toronto,ON,,888-580-5942,,,,38,45,18.42%
279,AskNicely,asknicely.com,https://www.linkedin.com/company/ask-nicely,Auckland,NZ,,(866) 343-7386,,,,38,45,18.42%
280,namecheap,namecheap.com,http://www.linkedin.com/company/namecheap-inc,Los Angeles,CA,,310-259-3259,,,,624,723,15.87%
281,Justworks,justworks.com,,New York,NY,,888.534.1711,,,Redpoint/Bain,350,409,16.86%
282,JetBrains,jetbrains.com,http://www.linkedin.com/company/jetbrains,Prague,,,609.714.7883,,,,599,694,15.86%
283,Lever,lever.co,https://www.linkedin.com/company/lever-,San Francisco,CA,,(415) 458 - 2731,,,Scale/Matrix,221,259,17.19%
284,Allocadia,allocadia.com,http://www.linkedin.com/company/allocadia-software,Vancouver,BC,,604-639-5736,,,,90,106,17.78%
285,Druva inSync,druva.com,http://www.linkedin.com/company/druva,Sunnyvale,CA,,650.241.3501,,,Sequoia/Nexus,528,612,15.91%
286,Totango,totango.com,http://www.linkedin.com/company/totango,San Mateo,CA,,800-634-1990,,,,74,87,17.57%
287,Contify,contify.com,https://www.linkedin.com/company/contify,New Delhi,IND,,91 1140575200,,,,115,135,17.39%
288,BetterCloud,bettercloud.com,https://www.linkedin.com/company/bettercloud,New York,NY,USA,,,,Accel,188,220,17.02%
289,Docebo,docebo.com,https://www.linkedin.com/company/docebo-srl,Toronto,ON,,800.681.4601,http://www.software-comparison.net/interview-e-learning-claudio-erba-docebo-s-ceo-and-founder-answers-our-questions-about-its-software,155.php#.WWTwHdPyt0s,Principia SGR,226,264,16.81%
290,ServiceChannel,servicechannel.info,http://www.linkedin.com/company/servicechannel,New York,NY,,800-508-6695,,,,184,215,16.85%
291,SketchUp,sketchup.com,https://www.linkedin.com/company-beta/41756/,Boulder,CO,,408.481.8000,,,,93,109,17.20%
292,Recurly,recurly.com,https://www.linkedin.com/company/recurly-inc-,San Francisco,CA,,,https://www.saastr.com/saastr-podcast-111-dan-burkhart-founder-ceo-recurly-shares-how-to-build-scale-a-customer-success-team/,,,148,173,16.89%
293,Automattic,Automattic.com,https://www.linkedin.com/company/automattic/,San Francisco,CA,,,,,Insight/Tiger Global,650,747,14.92%
294,Sprout Social,sproutsocial.com,https://www.linkedin.com/company/sprout-social-inc-,Chicago,IL,,866-878-3231,,http://www.builtinchicago.org/2016/02/17/sprout-social-raises-42m,Goldman/NEA,481,555,15.38%
295,Phocas Software,phocassoftware.com,http://www.linkedin.com/company/phocas_2,Coventry,,,877.387.4004,,,,119,139,16.81%
296,Revegy,revegy.com,http://www.linkedin.com/company/revegy-software-inc-,Atlanta,GA,,404.998.5700,,,,41,48,17.07%
297,iWave PRO,iwave.com,http://www.linkedin.com/company/iwave-information-systems,Charlottetown,,,902-894-2600,,,,71,83,16.90%
298,Wistia,wistia.com,http://www.linkedin.com/company/wistia,Somerville,MA,,,,,,83,97,16.87%
299,Egnyte,egnyte.com,http://www.linkedin.com/company/egnyte,Mountain View,CA,,650.968.4018,,,GV/Kleiner/Polaris,364,421,15.66%
300,Any.do,any.do,https://www.linkedin.com/company/any.do,Tel Aviv,ISR,,,,,Genesis,344,398,15.70%
301,Gainsight,gainsight.com,http://www.linkedin.com/company/gainsight,Redwood City,CA,,888-623-8562,,,Insight/Bessemer,542,623,14.94%
302,SalesBox,Salesboxinc.com,https://www.linkedin.com/company/salesbox-inc,San Francisco,CA,IS,415-361-4080,,,,134,156,16.42%
303,Lob,lob.com,http://www.linkedin.com/company/lob,San Francisco,CA,,,,,Y Combinator/Polaris,97,113,16.49%
304,ArchiveSocial,ArchiveSocial.com,http://www.linkedin.com/company/archivesocial,Durham,NC,,,,,,48,56,16.67%
305,Coveo,coveo.com,http://www.linkedin.com/company/coveo,Quebec City,QC,,800.635.5476,,,BDC Venture,314,363,15.61%
306,Fastly,fastly.com,http://www.linkedin.com/company/fastly,San Francisco,CA,,,,,Sapphire/August,414,477,15.22%
307,EXASOL,exasol.com,https://www.linkedin.com/company/exasol-ag,Bayern,,,44-20-3755-0981,,,,85,99,16.47%
308,Appointy,appointy.com,https://www.linkedin.com/company/appointy-inc,Bhopal,MP,,855.707.1277,,,,36,42,16.67%
309,Chrome River EXPENSE,chromeriver.com,http://www.linkedin.com/company/chromeriver,Los Angeles,CA,,888-781-0088,,,,302,349,15.56%
310,ThinkHR Learn,thinkhr.com,http://www.linkedin.com/company/thinkhr,Pleasanton,CA,,925.225.1100,,,,142,165,16.20%
311,Jama Software,jamasoftware.com,http://www.linkedin.com/company/jama-software,Portland,OR,,503.922.1058,,,Updata/Trinity,195,226,15.90%
312,Cloudability,Cloudability.com,https://www.linkedin.com/company/cloudability,Portland,OR,USA,,https://www.saastr.com/saastr-podcast-109-mat-ellis-founder-ceo-cloudability-discusses-scaling-saas-teams-with-startup-hyper-growth/,,Foundry/Trinity,117,136,16.24%
313,Semmle,semmle.com,http://www.linkedin.com/company/semmle,New York,NY,,,,,,55,64,16.36%
314,Plesk,plesk.com,http://www.linkedin.com/company/plesk,Schaffhausen,SH,,855 777 3680,,,,157,182,15.92%
315,Intercom,intercom.com,http://www.linkedin.com/company/intercom,San Francisco,CA,,877-595-5175,,https://growthhackers.com/articles/an-interview-with-the-ceo-of-intercom-io-on-how-to-build-a-saas-business,Index/Bessemer,779,886,13.74%
316,grammarly,grammarly.com,http://www.linkedin.com/company/grammarly,San Francisco,CA,,,,,General Catalyst,191,221,15.71%
317,Ableton Live,ableton.com,http://www.linkedin.com/company/ableton,Berlin,GER,,646.723.4550,,,,366,421,15.03%
318,Agility Media Monitoring & Analytics,agilitypr.com,https://www.linkedin.com/company/agility-pr-solutions,Ridgefield Park,NJ,,866-545-3745,,,,139,161,15.83%
319,TradeGecko,tradegecko.com,https://www.linkedin.com/company/tradegecko,,,,,,,,94,109,15.96%
320,Qt Creator,qt.io,https://www.linkedin.com/company/the-qt-company,Espoo,,,408 906 8400,,,,262,302,15.27%
321,Caspio,caspio.com,https://www.linkedin.com/company/caspio-inc,Santa Clara,CA,,650-691-0900,,,,140,162,15.71%
322,Greenhouse Software,greenhouse.io,http://www.linkedin.com/company/greenhouse-inc-,New York,NY,,917-780-4130,,,,263,303,15.21%
323,Building Engines,buildingengines.com,https://www.linkedin.com/company/building-engines-inc-,Waltham,MA,,781-290-5300,,,,101,117,15.84%
324,BOARD,board.com,https://www.linkedin.com/company/board,Chiasso,,,617.203.2173,,,Grafton,388,445,14.69%
325,SurveyMonkey,surveymonkey.com,http://www.linkedin.com/company/surveymonkey,Palo Alto,CA,,650-543-8400,,,Tiger Global,823,932,13.24%
326,Intermapper,helpsystems.com,http://www.linkedin.com/company/helpsystems-llc,Eden Prairie,MN,,952-933-0609,,,,429,491,14.45%
327,HotJar,hotjar.com,https://www.linkedin.com/company/hotjar,,,,,,http://nathanlatka.com/thetop558/,,57,66,15.79%
328,CircleCI,circleci.com,http://www.linkedin.com/company/circleci,San Francisco,CA,,415.944.3995,,,Draper/Scale,149,172,15.44%
329,Walkme,walkme.com,http://www.linkedin.com/company/walkme,San Francisco,CA,,855-492-5563,https://www.saastr.com/saastr-podcast-113-dan-adika-founder-ceo-walkme-shares-the-most-important-metrics-to-assess-the-state-of-a-saas-startup,,Insight/Scale,627,713,13.72%
330,Wave,my.waveapps.com,https://www.linkedin.com/company/wave-hq,Toronto,ON,,,,,NAB/Social,170,196,15.29%
331,DroneDeploy,DroneDeploy.com,https://www.linkedin.com/company/dronedeploy/,San Francisco,CA,,,,,,104,120,15.38%
332,Ansarada,ansarada.com,http://www.linkedin.com/company/ansarada,Chicago,IL,,312.466.5530,,,,236,271,14.83%
333,BricsCAD,bricsys.com,http://www.linkedin.com/company/bricsys,Gent,,,603.882.5876,,,,91,105,15.38%
334,META4,meta4.com,http://www.linkedin.com/company/meta4,Madrid,SPA,,770-353-0723,,,,800,904,13.00%
335,Hireology,Hireology.com,https://www.linkedin.com/company/hireology/,Chicago,IL,,,,,,174,200,14.94%
336,CampusNexus Student,campusmanagement.com,http://www.linkedin.com/company/campus-management-corp,Boca Raton,FL,,561-923-2500,,,,652,739,13.34%
337,Intacct,intacct.com,http://www.linkedin.com/company/intacct-corporation,San Jose,CA,,408.878.0900,,,Battery/SVB,560,636,13.57%
338,Usabilla,Usabilla.com,https://www.linkedin.com/company/usabilla,Amsterdam,NET,,,,http://www.prweb.com/releases/2015/12/prweb13129268.htm,Boralis,126,145,15.08%
339,bitly,bitly.com,http://www.linkedin.com/company/bitly,New York,NY,,718-971-5558,,,,189,217,14.81%
340,Vroozi,vroozi.com,http://www.linkedin.com/company/vroozi,Oaks,CA,,866.509.5045,,,,59,68,15.25%
341,Atlas Solutions,atlassolutions.com,http://www.linkedin.com/company/atlas,Menlo Park,CA,,(650) 543-4800,,,,737,832,12.89%
342,Bamboo HR,bamboohr.com,http://www.linkedin.com/company/bamboohr,Lindon,UT,,801.724.6600,,,Sorenson,414,471,13.77%
343,eduCBA,educba.com,https://www.linkedin.com/company/corporate-bridge-academy,,,,,,,,60,69,15.00%
344,WealthEngine,wealthengine.com,http://www.linkedin.com/company/wealthengine,Bethesda,MD,,301-215-5980,,,,101,116,14.85%
345,Wrike,wrike.com,http://www.linkedin.com/company/wrike,Mountain View,CA,,650.318.3551,,,Scale/Bain,548,621,13.32%
346,Teamwork.com,teamwork.com,https://www.linkedin.com/company/teamwork-com,Cork,IRE,,336.578.3456,,,,179,205,14.53%
347,VanillaSoft,vanillasoft.com,http://www.linkedin.com/company/vanillasoft,Plano,TX,,866-763-8826,,,,40,46,15.00%
348,ENPS,enps.com,http://www.linkedin.com/company/enps,Washington,DC,,212-621-1500,,,,40,46,15.00%
349,Vend,vendhq.com,https://linkedin.com/company/vendhq-com,Auckland,NZ,,415-315-9566,,,,307,350,14.01%
350,Splashtop,splashtop.com,http://www.linkedin.com/company/splashtop-inc.,San Jose,CA,,408-861-1088,,,,47,54,14.89%
351,Bullhorn,bullhorn.com,http://www.linkedin.com/company/bullhorn,Boston,MA,,617.478.9100,,,General Catalyst/Highland,767,863,12.52%
352,AutoTURN,transoftsolutions.com,http://www.linkedin.com/company/transoft-solutions-inc-,Richmond,BC,,604.244.8387,,,,110,126,14.55%
353,Perforce,perforce.com,http://www.linkedin.com/company/perforce-software,Minneapolis,MN,,510.864.7400,,,,227,259,14.10%
354,Urban Airship,urbanairship.com,http://www.linkedin.com/company/urban-airship,Portland,OR,,855-385-3155,,,,199,227,14.07%
355,Sendible,sendible.com,http://www.linkedin.com/company/sendible,London,UK,,44-20-3608-6879,,,,41,47,14.63%
356,Smarp,smarp.com,https://www.linkedin.com/company/smarp-oy,Helsinki,,,917-941-3863,,,,76,87,14.47%
357,Trello,trello.com,https://linkedin.com/company/trello,New York,NY,,212.279.2335,https://www.saastr.com/saastr-podcast-104-michael-pryor-co-founder-ceo-trello-shares-the-3-key-elements-that-make-a-great-ceo/,,,69,79,14.49%
358,DiscoverOrg,discoverorg.com,http://www.linkedin.com/company/discoverorg,Vancouver,WA,,800-914-1220,,,Bootstrapped,589,664,12.73%
359,SmartRecruiters,smartrecruiters.com,http://www.linkedin.com/company/smartrecruiters,San Francisco,CA,,415-659-9130,,,Insight/Rembrandt,201,229,13.93%
360,Periscope Data,periscopedata.com,https://www.linkedin.com/company/periscope-inc-,San Francisco,CA,,415.991.8333,,,Draper/Bessemer,142,162,14.08%
361,Transifex,transifex.com,http://www.linkedin.com/company/transifex,Menlo Park,CA,,855-418-5000,,,,70,80,14.29%
362,Klipfolio,klipfolio.com,http://www.linkedin.com/company/klipfolio,Ottawa,ON,,613.233.5991,,,Mistral/Omers,99,113,14.14%
363,NetDimensions,netdimensions.com,http://www.linkedin.com/company/netdimensions,Hong Kong,,,860.436.3898,,,,188,214,13.83%
364,AirPR,airpr.com,http://www.linkedin.com/company/airpr,San Francisco,CA,,,,,,35,40,14.29%
365,sendwithus,sendwithus.com,https://www.linkedin.com/company/sendwithus,San Francisco,CA,USA,,,,Y Combinator,35,40,14.29%
366,ETO Software,socialsolutions.com,http://www.linkedin.com/company/social-solutions,Austin,TX,,,,,,252,286,13.49%
367,Five9,five9.com,http://www.linkedin.com/company/five9,San Ramon,CA,,925.201.2000,,,Sapphire/Adams Street,830,928,11.81%
368,Lyris,lyris.com,http://www.linkedin.com/company/lyris,Emeryville,CA,,,,,,160,182,13.75%
369,Certify,certify.com,https://www.linkedin.com/company/certify-inc,Portland,ME,,207-773-6100,,,,184,209,13.59%
370,Upfluence,upfluence.com,https://www.linkedin.com/company/upfluence,New York,NY,,,,,,50,57,14.00%
371,WP Engine,wpengine.com,http://www.linkedin.com/company/wp-engine,Austin,TX,,877-973-6446,,,Silverton/North Bridge,558,627,12.37%
372,Saba Cloud,saba.com,http://www.linkedin.com/company/saba,Redwood Shores,CA,,650.581.2500,,,Berkeley Intl,873,973,11.45%
373,TeamViewer,teamviewer.com,http://www.linkedin.com/company/teamviewer,Tampa,FL,,800.951.4573,,,,444,500,12.61%
374,ExperLogix,experlogix.com,http://www.linkedin.com/company/experlogix-inc.,South Jordan,UT,,805-504-9729,,,,36,41,13.89%
375,Khan Academy,khanacademy.org,http://www.linkedin.com/company/khan-academy,Mountain View,CA,,,,,Omidyar,464,522,12.50%
376,V12 Data,v12data.com,https://www.linkedin.com/company/v12data,Wesley Chapel,FL,,,,,,103,117,13.59%
377,Nearpod,nearpod.com,http://www.linkedin.com/company/nearpod,Hallandale,FL,,,,,Insight,157,178,13.38%
378,ChatMeter,chatmeter.com,http://www.linkedin.com/company/chatmeter,San Diego,CA,,,,,,74,84,13.51%
379,Falcon,falcon.io,https://www.linkedin.com/company/falconio,Copenhagen,DEN,,,,,,281,317,12.81%
380,Lead Forensics,leadforensics.com,https://www.linkedin.com/company/lead-forensics/,London,UK,,44-20-3131-0996,,,Bootstrapped,761,848,11.43%
381,UserTesting,usertesting.com,http://www.linkedin.com/company/usertesting.com,Mountain View,CA,,650-226-4142,,,Accel,611,683,11.78%
382,Nintex,nintex.com,http://www.linkedin.com/company/nintex,Bellevue,WA,,425-324-2400,,,TA/Updata,482,540,12.03%
383,GamEffective,gameffective.com,http://www.linkedin.com/company/gameffective,Charlotte,NC,,800.538.4263,,,,68,77,13.24%
384,Easy Software,easysoftware.com,https://www.linkedin.com/company/17971627,London,UK,ENG,44 207 193 4089,,,,53,60,13.21%
385,Ceros,ceros.com,http://www.linkedin.com/company/ceros.com,New York,NY,,212-714-6162,,,Grotech,164,185,12.80%
386,PowerDMS,powerdms.com,http://www.linkedin.com/company/powerdms,Orlando,FL,,800.749.5104,,,,100,113,13.00%
387,Selenium IDE,seleniumhq.org,https://www.linkedin.com/company/selenium,,,,,,,,38,43,13.16%
388,Globoforce,globoforce.com,http://www.linkedin.com/company/globoforce,Southborough,MA,,508.229.1500,,,Atlas,464,519,11.85%
389,UJET,ujet.co,https://www.linkedin.com/company/ujetco,San Francisco,CA,USA,,,https://www.jacksmith.eu/blog/ujet-launch/225,,77,87,12.99%
390,Gandi,gandi.net,https://www.linkedin.com/company/gandi,Paris,FRA,,33.(0) 1 70.37.76.61,,,,117,132,12.82%
391,ConnectWise,connectwise.com,http://www.linkedin.com/company/connectwise,Tampa,FL,,813-463-4700,,,,886,981,10.72%
392,Ivy Mobility,ivymobility.com,https://www.linkedin.com/company/ivy-mobility-solutions/,Singapore,SI,SIN,7.27E+09,,,,340,381,12.06%
393,Datorama,datorama.com,http://www.linkedin.com/company/datorama,New York,NY,,917.503.9824,,,Lightspeed/Marker,350,392,12.00%
394,OpenSesame,opensesame.com,http://www.linkedin.com/company/opensesame_2,Portland,OR,,,,,Altos/Parttech,78,88,12.82%
395,Episerver CMS,episerver.com,http://www.linkedin.com/company/episerver-ab,Nashua,NH,,603.594.0249,,,Accel/KKR,470,524,11.49%
396,Keeper,keepersecurity.com,http://www.linkedin.com/company/keeper-security-inc-,Chicago,IL,,312.829.2680,,,Darren Guccione,105,118,12.38%
397,Quip,quip.com,https://www.linkedin.com/company/quip-com,San Francisco,CA,,415.359.9326,,,Greylock/Benchmark,105,118,12.38%
398,Azalead,azalead.com,https://www.linkedin.com/company/azalead,Paris,FRA,,33 1 84 17 32 85,,,Idinvest/Aurinvest,56,63,12.50%
399,Contentools,contentools.com,https://www.linkedin.com/company/contentools,San Francisco,CA,,,,,,139,156,12.23%
400,Bluebeam Revu,bluebeam.com,http://www.linkedin.com/company/bluebeam-software,Pasadena,CA,,626.788.4100,,,Tech Coast Angels,336,375,11.61%
401,CloudPay,cloudpay.net,http://www.linkedin.com/company/cloudpay,Raleigh,NC,,919-322-5800,,,,266,297,11.65%
402,iSpring QuizMaker,ispringsolutions.com,http://www.linkedin.com/company/ispring-solutions,New York,NY,,,,,,142,159,11.97%
403,iSpring Suite,ispringsolutions.com,http://www.linkedin.com/company/ispring-solutions,Alexandria,VA,,800.640.0868,,,,142,159,11.97%
404,AdvancedMD,advancedmd.com,https://www.linkedin.com/company/advancedmd,South Jordan,UT,,801-984-9500,,,,567,628,10.76%
